2026-04-12 16:28:48.767747 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000326
2026-04-12 16:28:48.969694 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000139
2026-04-12 16:28:49.170906 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000162
2026-04-12 16:28:49.372441 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000085
2026-04-12 16:28:49.573875 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000113
2026-04-12 16:28:49.775803 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000307
2026-04-12 16:28:49.977842 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000244
2026-04-12 16:28:50.179131 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000171
2026-04-12 16:28:50.380527 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000058
2026-04-12 16:28:50.559540 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000137
2026-04-12 16:28:53.562005 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000326
2026-04-12 16:28:55.559363 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000208
2026-04-12 16:28:58.567949 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000179
2026-04-12 16:28:58.769597 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000190
2026-04-12 16:28:58.970894 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000121
2026-04-12 16:28:59.172327 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000035
2026-04-12 16:28:59.373403 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000080
2026-04-12 16:28:59.575399 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000168
2026-04-12 16:28:59.776559 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000093
2026-04-12 16:28:59.978071 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000220
2026-04-12 16:29:00.179819 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000175
2026-04-12 16:29:00.381612 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000176
2026-04-12 16:29:02.584232 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000265
2026-04-12 16:29:02.786337 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000145
2026-04-12 16:29:02.987799 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000059
2026-04-12 16:29:03.191998 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000167
2026-04-12 16:29:03.393885 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000216
2026-04-12 16:29:03.578544 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000116
2026-04-12 16:29:06.580726 | TYPE=IMPERSONATION | RESULT=REJECTED | LATENCY=0.000316
2026-04-12 16:29:09.589613 | TYPE=REPLAY | RESULT=REJECTED | LATENCY=0.000078
